path_raw	path_sscs	id	type	replicate
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0277_PCR1_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0277_PCR1_sscs_pileup_new_with_UMIs.txt	SE15-0277_PCR1	case	1
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0277_PCR2_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0277_PCR2_sscs_pileup_new_with_UMIs.txt	SE15-0277_PCR2	case	1
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0278_PCR1_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0278_PCR1_sscs_pileup_new_with_UMIs.txt	SE15-0278_PCR1	case	2
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0278_PCR2_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0278_PCR2_sscs_pileup_new_with_UMIs.txt	SE15-0278_PCR2	case	2
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0298_PCR1_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0298_PCR1_sscs_pileup_new_with_UMIs.txt	SE15-0298_PCR1	case	3
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0298_PCR2_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0298_PCR2_sscs_pileup_new_with_UMIs.txt	SE15-0298_PCR2	case	3
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0445_PCR1_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0445_PCR1_sscs_pileup_new_with_UMIs.txt	SE15-0445_PCR1	case	4
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0445_PCR2_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0445_PCR2_sscs_pileup_new_with_UMIs.txt	SE15-0445_PCR2	case	4
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0538_PCR1_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0538_PCR1_sscs_pileup_new_with_UMIs.txt	SE15-0538_PCR1	case	5
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0538_PCR2_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0538_PCR2_sscs_pileup_new_with_UMIs.txt	SE15-0538_PCR2	case	5
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0573_PCR1_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0573_PCR1_sscs_pileup_new_with_UMIs.txt	SE15-0573_PCR1	case	6
/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0573_PCR2_raw_pileup_rankFalse.txt	/Users/sabelson/Desktop/My Projects/smMIP ARCH-AML panel/BenchMARK/For our paper/code to generate the figures/clinical samples/clinical samples/SE15-0573_PCR2_sscs_pileup_new_with_UMIs.txt	SE15-0573_PCR2	case	6
